,Company Name,Job Name,Location,Rating,Pay
57,"Agilent Technologies, Inc.",Software Development Intern,"Wilmington, DE",4.2,$38K - $66K (Employer est.)
58,TikTok,AR Effects Software Engineer Intern - 2022 Summer,"Mountain View, CA",3.6,$84K - $179K (Glassdoor est.)
59,Intuit,Software Engineer Intern (Summer 2022),"Mountain View, CA",4.4,$78K - $170K (Glassdoor est.)
60,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,$63K - $125K (Glassdoor est.)
61,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
62,Datix,Intern Software Developer,Remote,3.8,N/A
63,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
64,Rivial Data Security,User Experience Intern,Remote,N/A,$15 Per Hour(Employer est.)
65,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4.0,N/A
66,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,$51K - $93K (Glassdoor est.)
67,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,$21 Per Hour(Employer est.)
68,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,$75K - $167K (Glassdoor est.)
69,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
70,"Alteryx, Inc.",Software Engineer Intern (Summer 2022),"Irvine, CA",3.6,$40 Per Hour(Employer est.)
71,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,$20 Per Hour(Employer est.)
72,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,$65K - $127K (Glassdoor est.)
73,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,$61K - $136K (Glassdoor est.)
74,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4.0,$72K - $156K (Glassdoor est.)
75,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4.0,$34 Per Hour(Employer est.)
76,Intel,Intern Software Engineer,"Hillsboro, OR",4.2,$76K - $120K (Glassdoor est.)
77,"MyWay Deliveries, LLC",Software Engineer Intern,"Newport Beach, CA",N/A,N/A
78,Garmin,Software Engineer Intern (Part-Time) - KSU Office,"Manhattan, KS",4.2,$32K - $70K (Glassdoor est.)
79,Asurion,Software Engineer Intern,"Nashville, TN",3.5,N/A
80,Smartcare Software,Software Engineer Intern,Remote,N/A,$15 - $20 Per Hour(Employer est.)
81,"Chick-fil-A, Inc.",2022 Software Engineering Summer Intern,"Atlanta, GA",3.9,$54K - $110K (Glassdoor est.)
82,Pearson,Intern - Software Engineer,"Boston, MA",3.7,$61K - $131K (Glassdoor est.)
83,Clarity,Software Engineer Intern at Silicon Valley-based Early Stage Startup,Remote,N/A,$13 - $33 Per Hour(Employer est.)
84,Khan Academy,Software Engineer Intern,"Mountain View, CA",4.0,$86K - $155K (Glassdoor est.)
85,Red Rock Business Advisors,Software Engineer Intern,"Leesburg, VA",N/A,$59K - $104K (Glassdoor est.)
86,Nintendo of America Inc.,Intern – IT Software Engineer (NOA),"Redmond, WA",4.1,$73K - $144K (Glassdoor est.)
87,Skyward,Software Engineer Intern,"Stevens Point, WI",4.4,$52K - $98K (Glassdoor est.)
88,Narvalous Inc,Software Engineer Intern (Remote) (Paid),Remote,N/A,$15 Per Hour(Employer est.)
89,"Phoenix Logistics, LLC",Software Engineer Intern,"Orlando, FL",N/A,$56K - $105K (Glassdoor est.)
90,Trimble,Software Engineer- Intern,"Princeton, NJ",4.5,$63K - $125K (Glassdoor est.)
91,"Sandhills Global, Inc.",Software Development Intern,"Lincoln, NE",3.0,$25 Per Hour(Employer est.)
92,Datix,Intern Software Developer,Remote,3.8,N/A
93,Northrop Grumman,"2022 Software Intern (Woodland Hills, CA)","Woodland Hills, CA",4.0,$24 - $30 Per Hour(Employer est.)
94,Rivial Data Security,User Experience Intern,Remote,N/A,$15 Per Hour(Employer est.)
95,Northrop Grumman,Intern Engineer Software – Secret,"Palmdale, CA",4.0,N/A
96,ITW,Software Engineer Intern,"Forest Junction, WI",3.7,$51K - $93K (Glassdoor est.)
97,ThermoAnalytics,Software Development Interns,"Calumet, MI",N/A,$21 Per Hour(Employer est.)
98,Autodesk,"Intern, Software Engineer","Irvine, CA",4.3,$75K - $167K (Glassdoor est.)
99,Unity Technologies,Software Engineer Intern,"Bellevue, WA",4.4,$78K - $139K (Glassdoor est.)
100,Force Therapeutics,Software Engineer Intern,"New York, NY",4.8,$20 Per Hour(Employer est.)
101,Verizon Media,Software Engineer Intern,"Dulles, VA",3.9,$65K - $127K (Glassdoor est.)
102,Intuit,Software Engineer Intern (Summer 2022),"San Diego, CA",4.4,$61K - $136K (Glassdoor est.)
103,Hewlett Packard Enterprise,System Software Engineer Fall Intern,"Houston, TX",4.0,$72K - $156K (Glassdoor est.)
104,FactSet Research Systems,Software Engineer Intern - Americas Campus (Summer 2022),"York, NY",4.0,$34 Per Hour(Employer est.)
105,"MyWay Deliveries, LLC",Software Engineer Intern,"Newport Beach, CA",N/A,N/A
